"genotype" "location" "treatment" "timepoint" "condition" "samptype" "bleach" "propd" "origin"
"X31_102_300_c_5h" "102" "300" "c" 5 "c_300_5h" "c_5h" 1 0.396846255 "MV"
"X80_102_300_c_20h" "102" "300" "c" 20 "c_300_20h" "c_20h" 1 0.315959596 "MV"
"X41_102_300_h_5h" "102" "300" "h" 5 "h_300_5h" "h_5h" 2 0.140083945 "MV"
"X92_102_300_h_20h" "102" "300" "h" 20 "h_300_20h" "h_20h" 2 0.30260521 "MV"
"X30_102_400_c_5h" "102" "400" "c" 5 "c_400_5h" "c_5h" 1 0.296183206 "MV"
"X79_102_400_c_20h" "102" "400" "c" 20 "c_400_20h" "c_20h" 1 0.335740072 "MV"
"X40_102_400_h_5h" "102" "400" "h" 5 "h_400_5h" "h_5h" 1 0.083894957 "MV"
"X91_102_400_h_20h" "102" "400" "h" 20 "h_400_20h" "h_20h" 1 0.247916667 "MV"
"X16_11_300_c_5h" "11" "300" "c" 5 "c_300_5h" "c_5h" 1 0.00047619 "MV"
"X138_11_300_c_20h" "11" "300" "c" 20 "c_300_20h" "c_20h" 1 0.006346328 "MV"
"X21_11_300_h_5h" "11" "300" "h" 5 "h_300_5h" "h_5h" 3 0.000386698 "MV"
"X150_11_300_h_20h" "11" "300" "h" 20 "h_300_20h" "h_20h" 3 0.006330935 "MV"
"X9_27_300_c_5h" "27" "300" "c" 5 "c_300_5h" "c_5h" 1 0.976366322 "HV"
"X78_27_300_c_20h" "27" "300" "c" 20 "c_300_20h" "c_20h" 1 0.979357798 "HV"
"X39_27_300_h_5h" "27" "300" "h" 5 "h_300_5h" "h_5h" 3 0.979106628 "HV"
"X90_27_300_h_20h" "27" "300" "h" 20 "h_300_20h" "h_20h" 3 0.976666667 "HV"
"X29_27_400_c_5h" "27" "400" "c" 5 "c_400_5h" "c_5h" 1 0.982394366 "HV"
"X77_27_400_c_20h" "27" "400" "c" 20 "c_400_20h" "c_20h" 1 0.971882641 "HV"
"X38_27_400_h_5h" "27" "400" "h" 5 "h_400_5h" "h_5h" 4 0.988269795 "HV"
"X89_27_400_h_20h" "27" "400" "h" 20 "h_400_20h" "h_20h" 4 0.993142857 "HV"
"X24_28_300_c_5h" "28" "300" "c" 5 "c_300_5h" "c_5h" 1 0.118530885 "MV"
"X84_28_300_c_20h" "28" "300" "c" 20 "c_300_20h" "c_20h" 1 0.233527132 "MV"
"X36_28_300_h_5h" "28" "300" "h" 5 "h_300_5h" "h_5h" 1 0.048780488 "MV"
"X96_28_300_h_20h" "28" "300" "h" 20 "h_300_20h" "h_20h" 1 0.123338257 "MV"
"X12_28_400_c_5h" "28" "400" "c" 5 "c_400_5h" "c_5h" 1 0.320355951 "MV"
"X83_28_400_c_20h" "28" "400" "c" 20 "c_400_20h" "c_20h" 1 0.524576271 "MV"
"X44_28_400_h_5h" "28" "400" "h" 5 "h_400_5h" "h_5h" 2 0.147759771 "MV"
